sim_time_s,wall_ahead,wall_left,wall_front_right,wall_right,left_density,center_density,right_density,mean_right,target_visible,target_direction,left_velocity,right_velocity
2.528,False,False,False,True,0.01339,0.01451,0.01042,183.568,False,,3.0,3.0
2.56,False,False,False,True,0.01358,0.01438,0.01042,183.568,False,,3.0,3.0
2.592,False,False,False,True,0.01345,0.01445,0.01042,183.568,False,,3.0,3.0
2.624,False,False,False,True,0.01352,0.01445,0.01042,183.568,False,,3.0,3.0
2.656,False,False,False,True,0.01352,0.01445,0.01042,183.568,False,,3.0,3.0
2.688,False,False,False,True,0.01345,0.01445,0.01042,183.568,False,,3.0,3.0
2.72,False,False,False,True,0.01345,0.01445,0.01042,183.568,False,,3.0,3.0
2.752,False,False,False,True,0.01358,0.01445,0.01042,183.568,False,,3.0,3.0
2.784,False,False,False,True,0.01352,0.01445,0.01042,183.568,False,,3.0,3.0
2.816,False,False,False,True,0.01333,0.01445,0.01042,183.568,False,,3.0,3.0
2.848,False,False,False,True,0.01345,0.01438,0.01042,183.568,False,,3.0,3.0
2.88,False,False,False,True,0.01327,0.01426,0.01042,183.568,False,,3.0,3.0
2.912,False,False,False,True,0.01345,0.01432,0.01042,183.568,False,,3.0,3.0
2.944,False,False,False,True,0.01352,0.01432,0.01042,183.568,False,,3.0,3.0
2.976,False,False,False,True,0.01333,0.01432,0.01042,183.568,False,,3.0,3.0
3.008,False,False,False,True,0.01339,0.01432,0.01042,183.568,False,,3.0,3.0
3.04,False,False,False,True,0.01345,0.01432,0.01042,183.568,False,,3.0,3.0
3.072,False,False,False,True,0.01345,0.01432,0.01042,183.568,False,,3.0,3.0
3.104,False,False,False,True,0.01339,0.01432,0.01042,183.568,False,,3.0,3.0
3.136,False,False,False,True,0.01345,0.01432,0.01042,183.568,False,,3.0,3.0
3.168,False,False,False,True,0.01333,0.01438,0.01042,183.568,False,,3.0,3.0
3.2,False,False,False,True,0.01327,0.01463,0.01042,183.568,False,,3.0,3.0
3.232,False,False,False,True,0.01345,0.01457,0.01042,183.568,False,,3.0,3.0
3.264,False,False,False,True,0.01333,0.01451,0.01042,183.568,False,,3.0,3.0
3.296,False,False,False,True,0.01339,0.01445,0.01042,183.568,False,,3.0,3.0
3.328,False,False,False,True,0.01339,0.01445,0.01042,183.568,False,,3.0,3.0
3.36,False,False,False,True,0.01339,0.01438,0.01042,183.568,False,,3.0,3.0
